Epoch,Cycle,Cycle_reward,Episode,Goal_Achieved,Steps
0,0,0.0,1,"There is a cyan matte sphere, are there any red rubber balls to the right of it?",3
0,0,1.0,4,There is a red sphere; are there any blue balls left of it?,3
0,0,1.0,4,"There is a cyan sphere, are there any green spheres in front of it?",12
0,0,3.0,5,There is a purple matte ball; are there any blue matte spheres on the left side of it?,8
0,0,4.0,10,There is a purple rubber sphere; are there any red spheres behind it?,2
0,0,5.0,11,"There is a cyan sphere, are there any purple matte balls left of it?",0
0,0,6.0,15,There is a red matte sphere; are there any blue matte balls in front of it?,9
0,0,7.0,16,"There is a green sphere, are there any blue balls on the left side of it?",0
0,0,8.0,26,There is a red rubber sphere; are there any cyan balls on the left side of it?,0
0,0,9.0,27,"There is a cyan rubber ball, are there any red matte balls on the left side of it?",0
0,0,10.0,29,"There is a cyan matte sphere, are there any red rubber balls in front of it?",0
0,0,11.0,31,"There is a cyan sphere, are there any green balls left of it?",0
0,0,12.0,35,"There is a cyan sphere, are there any blue rubber balls behind it?",8
0,0,13.0,41,"There is a cyan ball, are there any green matte balls behind it?",7
0,0,13.0,41,There is a purple matte sphere; are there any green matte spheres on the right side of it?,12
0,0,15.0,42,There is a blue sphere; are there any cyan spheres behind it?,0
0,0,16.0,44,There is a blue matte ball; are there any cyan spheres behind it?,0
0,0,16.0,44,"There is a green sphere, are there any blue balls on the left side of it?",4
0,0,18.0,45,"There is a cyan sphere, are there any green spheres in front of it?",7
0,0,19.0,46,There is a purple sphere; are there any blue matte spheres right of it?,1
0,0,20.0,47,There is a purple ball; are there any blue rubber spheres to the left of it?,1
0,0,21.0,50,"There is a cyan sphere, are there any red balls right of it?",2
0,0,22.0,67,There is a purple matte sphere; are there any cyan rubber spheres right of it?,9
0,0,22.0,67,"There is a cyan matte sphere, are there any purple balls behind it?",12
0,0,24.0,79,There is a purple matte ball; are there any green balls right of it?,9
0,0,24.0,79,There is a purple rubber ball; are there any red rubber spheres behind it?,10
0,0,26.0,80,"There is a cyan matte sphere, are there any red rubber balls to the right of it?",1
0,0,27.0,82,"There is a cyan rubber sphere, are there any red matte balls right of it?",8
0,0,28.0,89,There is a red ball; are there any cyan matte balls on the right side of it?,0
0,0,29.0,94,There is a red matte ball; are there any purple balls behind it?,1